@relation traind

@attribute MEAN numeric
@attribute MAXF numeric
@attribute MINF numeric
@attribute RANGEF numeric
@attribute KURT numeric
@attribute SKEW numeric
@attribute F_Label {0,1,2,3,4,5,6,7,8}

@data
1.274272,1.433563,0.912094,0.521469,3.519991,0.867498,0
1.654096,1.768875,1.320267,0.448608,3.543364,0.825057,0
0.971812,1.112366,0.793839,0.318527,3.648033,1.010921,0
1.256139,1.404572,0.951385,0.453186,5.693898,1.403186,0
5.478376,5.620193,5.205154,0.415039,-0.564761,-0.152023,0
5.680373,5.950928,5.375671,0.575256,-1.149763,0.01117,0
11.472492,11.845398,11.168289,0.677109,-1.310951,0.262992,0
1.802858,2.017212,1.421738,0.595474,-1.036886,0.084637,0
0.780076,0.905228,0.489426,0.415802,5.713199,1.149036,0
11.691253,12.228012,11.21788,1.010132,-0.857653,0.532121,0
0.878651,1.031494,0.615311,0.416183,1.873588,0.477616,0
1.125864,1.52092,0.677109,0.843811,-1.277029,0.628438,0
0.832603,0.97847,0.615311,0.363159,1.286569,0.915364,0
0.794858,0.933075,0.58136,0.351715,3.347217,0.943783,0
6.042754,6.22139,5.823517,0.397873,0.802676,0.302396,0
5.994442,6.175613,5.626297,0.549316,-0.618884,0.225048,0
1.278697,1.433563,0.912094,0.521469,3.948673,0.953118,0
2.321027,2.737808,1.695633,1.042175,-0.505196,-0.943855,0
1.262205,1.419449,0.930023,0.489426,4.365324,1.237681,0
11.394548,12.179184,10.99968,1.179504,-0.34073,1.143112,0
6.052409,6.266403,5.833054,0.43335,0.033042,0.721627,0
6.077694,6.266403,5.79071,0.475693,-0.968179,0.080735,0
11.179071,11.312485,10.99968,0.312805,0.256755,-0.139975,0
0.820815,0.964355,0.515747,0.448608,4.541957,1.157378,0
11.317106,11.608887,11.074448,0.534439,-0.748278,0.445572,0
0.971657,1.141739,0.677109,0.46463,2.391145,1.457079,0
5.698906,5.950928,5.375671,0.575256,-1.02569,-0.229135,0
0.965522,1.095581,0.727844,0.367737,5.522953,1.212907,0
1.364651,1.570511,1.003265,0.567245,1.845976,0.85901,0
11.313869,11.608887,11.074448,0.534439,-0.732645,0.440006,0
0.972822,1.112366,0.793839,0.318527,3.43994,0.961053,0
5.326005,5.460739,5.078888,0.381851,-0.157056,0.327143,0
6.071946,6.266403,5.79071,0.475693,-0.904955,0.119993,0
11.17862,11.312485,11.022949,0.289536,0.261316,-0.100974,0
5.545059,5.807877,5.375671,0.432205,6.712451,2.326552,0
5.98318,6.162643,5.626297,0.536346,0.941806,0.461408,0
0.782115,0.915527,0.489426,0.426102,5.878469,1.170326,0
0.966242,1.093674,0.727844,0.365829,5.206402,1.136521,0
1.285641,1.433563,0.912094,0.521469,5.879528,1.310865,0
0.972254,1.112366,0.793839,0.318527,3.577846,0.992292,0
1.256613,1.402664,0.951385,0.451279,5.505272,1.37693,0
0.843158,1.006317,0.615311,0.391006,0.122515,0.57684,0
1.801246,2.008057,1.421738,0.586319,-1.04929,0.084292,0
0.814787,0.964355,0.515747,0.448608,4.644492,1.147117,0
5.347266,5.460739,5.158234,0.302505,-1.211897,0.319888,0
5.586142,5.950928,5.375671,0.575256,1.452141,1.587254,0
11.521014,11.948013,11.168289,0.779724,-0.888115,0.363316,0
1.656418,1.791382,1.320267,0.471115,2.357372,0.667675,0
0.851094,1.018524,0.615311,0.403214,-0.105368,0.319104,0
